technology,latitude,longitude
UMTS,60.15001082,24.9161556833
HSPA+,60.171140645,24.929454895
HSPA+,60.16284802,24.93296386
UMTS,60.16978617,24.94562288
UMTS,60.17006824,24.94555377
UMTS,60.16226145,24.9305080617
HSPA+,60.1710674,24.93598014
HSPA+,60.168901015,24.942899505
HSDPA,60.1579995547,24.933289222
UMTS,60.0261609079,24.8997218721
UMTS,60.1688434633,24.9423702533
HSDPA,60.1576769157,24.9334130302
UMTS,60.1676705938,24.9313692588
UMTS,60.1661365833,24.9286417483
UMTS,60.1653196533,24.9261784933
UMTS,60.1615143917,24.9282696717
UMTS,60.164747955,24.92504054
HSPA+,60.1731358343,24.9292352043
UMTS,60.16730879,24.95143061
UMTS,60.1659650833,24.9415758933
UMTS,60.1651573467,24.9390708883
UMTS,60.16445186,24.93719381
UMTS,60.1677105067,24.9451707533
HSDPA,60.1550010228,24.9592321437
UMTS,60.1421431993,24.9072439823
UMTS,60.1497460237,24.9165669682
UMTS,60.1131831459,24.9016135415
UMTS,60.16815539,24.94764759
UMTS,60.171585975,24.9269160225
HSDPA,60.1606153414,24.9584969763
HSPA+,60.16844893,24.94738479
UMTS,60.16479523,24.94791963
UMTS,60.172827825,24.938648245
UMTS,60.16875086,24.93530927
UMTS,60.16390666,24.9355196
UMTS,60.16781867,24.94895401
HSDPA,60.16426959,24.94667782
UMTS,60.09887984,24.89676002
UMTS,60.17250232,24.93809037
HSPA+,60.1722754525,24.937734475
UMTS,60.158417935,24.9216721425
LTE,60.1634630438,24.9419140575
LTE,60.16536835,24.9392068
UMTS,60.1680533375,24.9433319575
UMTS,60.16792781,24.94941057
UMTS,60.1705323967,24.9440484883
HSPA+,60.169403575,24.939536215
HSPA+,60.16823442,24.94733288
HSDPA,60.1595878774,24.9321584916
HSDPA,60.1547804452,24.931386628
UMTS,60.05175921,24.893952265
UMTS,60.1456090243,24.9114877941
UMTS,60.1614544005,24.9278834334
HSDPA,60.1570688912,24.9302974742
HSPA+,60.1689522,24.94486524
UMTS,60.1534468854,24.9186889858
HSPA+,60.0556649,24.89200169
UMTS,60.1671327273,24.9450330682
UMTS,60.1691470175,24.9511574975
UMTS,60.17167894,24.93996268
UMTS,60.1487597524,24.9145363669
UMTS,60.168777285,24.949212255
UMTS,60.16972076,24.94553372
HSPA+,60.172861916,24.9253433727
HSPA+,60.17118757,24.9284163
UMTS,60.17164352,24.93168215
UMTS,60.0978052433,24.896088555
HSPA+,60.1696819,24.9471262825
HSDPA,60.1579230488,24.9323553977
UMTS,60.1489340628,24.9171303129
UMTS,60.1590391318,24.9217637239
UMTS,60.17191745,24.92639079
HSDPA,60.1554126347,24.9321173486
HSDPA,60.1575882261,24.9624293476
HSPA+,60.1729335233,24.9251453967
UMTS,60.1705551929,24.9442854686
HSDPA,60.1549857237,24.9348412725
HSDPA,60.1557298963,24.9620753781
HSDPA,60.1545459024,24.9504438987
HSDPA,60.1544803363,24.9397421447
LTE,60.1715314875,24.9354889238
LTE,60.1715224832,24.933185532
LTE,60.1693243588,24.9364186946
LTE,60.1710411375,24.93173264
LTE,60.1606126081,24.938184665
LTE,60.159419746,24.9359138
LTE,60.1717006556,24.9410866711
LTE,60.1649858775,24.94608366
LTE,60.1632232667,24.9462969367
LTE,60.1785959221,24.9511294949
LTE,60.177195575,24.951750085
LTE,60.1643412244,24.9405305489
LTE,60.16884351,24.94040427
LTE,60.18800772,24.9582623
LTE,60.181014494,24.921753492
LTE,60.184242178,24.931824268
UMTS,60.18478148,24.93254265
LTE,60.19385504,24.90522243
LTE,60.181835108,24.944957157
LTE,60.1800516669,24.9463269546
LTE,60.19143263,24.91036256
LTE,60.1825336576,24.9295249876
LTE,60.1808915652,24.9319080333
LTE,60.18702699,24.9427198518
LTE,60.18785464,24.94474524
LTE,60.1807280715,24.951531643
LTE,60.18473231,24.94327241
LTE,60.1884489875,24.95557136
LTE,60.18561367,24.95563174
LTE,60.183756675,24.95429611
LTE,60.1925987,24.95287547
